name,state,revenue,federal_revenue,state_revenue,local_revenue,expenses
DILLINGHAM CITY SCHOOL DISTRICT,Alaska,12829,1220,9592,2017,14635
GALENA CITY SCHOOL DISTRICT,Alaska,30743,1806,27071,1866,28825
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,Alaska,44271,2684,31717,9870,45132
ANCHORAGE SCHOOL DISTRICT,Alaska,771804,75613,488328,207863,820088
JUNEAU BOROUGH SCHOOL DISTRICT,Alaska,87888,4290,56492,27106,95382
SITKA SCHOOL DISTRICT,Alaska,28936,2638,19010,7288,30219
HAINES BOROUGH SCHOOL DISTRICT,Alaska,6557,455,4199,1903,7015
HOONAH CITY SCHOOL DISTRICT,Alaska,7637,953,5746,938,7588
HYDABURG CITY SCHOOL DISTRICT,Alaska,2741,755,1755,231,2378
KAKE CITY SCHOOL DISTRICT,Alaska,3405,943,2258,204,3523
KENAI PENINSULA BOROUGH SCHOOL DISTRICT,Alaska,166692,9460,112027,45205,170956
KLAWOCK CITY SCHOOL DISTRICT,Alaska,4413,998,2993,422,4317
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,Alaska,53409,5385,37009,11015,54701
LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,Alaska,17685,3095,10679,3911,18778
MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Alaska,284381,17507,206998,59876,352776
IDITAROD AREA SCHOOL DISTRICT,Alaska,8399,582,7703,114,9954
ANNETTE ISLAND SCHOOL DISTRICT,Alaska,20993,5065,15847,81,19349
NENANA CITY SCHOOL DISTRICT,Alaska,9760,772,8884,104,10042
NOME PUBLIC SCHOOLS,Alaska,15993,1343,12194,2456,16677
FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,Alaska,253923,28431,173181,52311,258059
NORTH SLOPE BOROUGH SCHOOL DISTRICT,Alaska,79073,9870,28613,40590,77372
NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,Alaska,75254,13556,47535,14163,78585
PELICAN CITY SCHOOL DISTRICT,Alaska,630,49,498,83,546
PETERSBURG BOROUGH SCHOOL DISTRICT,Alaska,12033,563,9024,2446,12046
